epoch,epoch_total,loss,recon,svdd,excl,overlap,R_mean
1,100,1.790918,1.724195,1334.468101,0.0,0.0,0.0
2,100,1.782721,1.722783,1198.756928,0.0,0.0,0.0
3,100,1.776044,1.721283,1095.221807,0.0,0.0,0.0
4,100,1.770932,1.7205,1008.655399,0.0,0.0,0.0
5,100,1.767261,1.720562,933.966811,0.0,0.0,0.0
6,100,1.761793,1.718277,870.318143,0.0,0.0,10.1033
7,100,1.873176,1.717887,244.743026,0.184459,12.460587,11.1929
8,100,1.887859,1.718432,219.699521,0.120443,14.639729,11.8391
9,100,1.893147,1.715227,204.502043,0.083729,15.932205,12.2742
10,100,1.900672,1.714889,205.235581,0.074983,16.802311,12.6268
11,100,1.909577,1.716431,208.435589,0.076468,17.507704,12.9288
12,100,1.916164,1.716204,212.441462,0.082222,18.111515,13.1964
13,100,1.920692,1.714331,217.08368,0.090378,18.646845,13.4397
14,100,1.927922,1.715298,221.586089,0.102101,19.1334,13.6643
15,100,1.933135,1.714381,225.891392,0.116329,19.582584,13.8728
16,100,1.937682,1.712975,230.172168,0.132024,19.999563,14.0687
17,100,1.941645,1.710706,234.506422,0.152986,20.391489,14.2542
18,100,1.949471,1.711791,238.822816,0.18114,20.76247,14.4309
19,100,1.956055,1.711218,243.029899,0.215278,21.115768,14.601
20,100,1.965547,1.712696,246.919364,0.259446,21.456017,14.7641
21,100,1.973339,1.712031,250.728112,0.309502,21.782156,14.9202
22,100,1.983596,1.711585,254.061067,0.383631,22.094425,15.0691
23,100,1.99598,1.708772,256.675997,0.504528,22.392145,15.2066
24,100,2.013288,1.712127,258.948123,0.615421,22.667166,15.3334
25,100,2.027,1.710993,260.806166,0.737577,22.920898,15.451
26,100,2.04389,1.708961,261.878424,0.902743,23.156038,15.5582
27,100,2.079727,1.712035,261.371942,1.209199,23.37034,15.6471
28,100,2.110788,1.708728,260.32223,1.53562,23.548176,15.7181
29,100,2.143667,1.710757,259.312821,1.830423,23.690235,15.7726
30,100,2.166144,1.706739,258.292355,2.084988,23.799189,15.8149
31,100,2.195971,1.709283,256.631744,2.350188,23.883747,15.8412
32,100,2.214671,1.706922,255.058834,2.556319,23.936323,15.8568
33,100,2.233169,1.707876,253.711718,2.72932,23.967562,15.8622
34,100,2.241806,1.708087,253.099383,2.812796,23.978477,15.8642
