epoch,epoch_total,loss,recon,svdd,excl,overlap,R_mean
35,100,2.242904,1.707296,253.03505,2.831328,23.982388,15.8652
36,100,2.242174,1.706011,253.061133,2.836661,23.984413,15.8663
37,100,2.240115,1.704123,253.075002,2.834723,23.986538,15.8669
38,100,2.23726,1.701393,253.093196,2.833345,23.987843,15.8677
39,100,2.238949,1.703323,253.1155,2.830751,23.989487,15.8685
40,100,2.237934,1.702406,253.123787,2.829611,23.991037,15.869
41,100,2.240536,1.705111,253.125906,2.828486,23.991938,15.8691
42,100,2.239682,1.704544,253.131115,2.825607,23.992155,15.8692
43,100,2.238055,1.702995,253.13849,2.824792,23.992441,15.8695
44,100,2.236508,1.701662,253.14296,2.82259,23.992949,15.8699
45,100,2.235845,1.70114,253.143176,2.8211,23.993774,15.8697
46,100,2.235115,1.700467,253.14998,2.820565,23.993431,15.8701
47,100,2.236895,1.702375,253.150531,2.819208,23.994205,15.87
48,100,2.235149,1.700699,253.167793,2.818507,23.994093,15.8707
49,100,2.235771,1.70147,253.164219,2.81689,23.995443,15.8705
50,100,2.23698,1.702773,253.169683,2.815994,23.994928,15.8707
51,100,2.23369,1.699585,253.155608,2.814929,23.995384,15.8703
52,100,2.235615,1.70158,253.150322,2.814313,23.994537,15.8699
53,100,2.23129,1.697319,253.14044,2.813763,23.993761,15.8696
54,100,2.232297,1.69844,253.143448,2.812694,23.993132,15.8696
55,100,2.235615,1.701796,253.138136,2.812289,23.993248,15.8695
56,100,2.235371,1.701631,253.127531,2.811526,23.993034,15.8692
57,100,2.23338,1.699688,253.113811,2.811129,23.992348,15.8685
58,100,2.230999,1.69737,253.106865,2.810627,23.991051,15.8681
59,100,2.228911,1.695289,253.102275,2.810645,23.990253,15.8678
60,100,2.231047,1.697459,253.079248,2.810376,23.98963,15.867
61,100,2.233697,1.700204,253.061878,2.8096,23.988049,15.8662
62,100,2.230118,1.696637,253.03839,2.809662,23.986313,15.865
63,100,2.231234,1.697783,252.999115,2.809607,23.984022,15.8636
64,100,2.228351,1.694984,252.974578,2.809067,23.981207,15.8627
65,100,2.228936,1.695587,252.953962,2.809068,23.979485,15.8617
66,100,2.229024,1.695676,252.927944,2.809271,23.977467,15.8607
67,100,2.228435,1.695129,252.898767,2.809077,23.975393,15.8593
68,100,2.228526,1.695275,252.858904,2.808813,23.972586,15.8579
69,100,2.226785,1.693612,252.834133,2.808335,23.969791,15.8568
70,100,2.22884,1.695671,252.795913,2.808527,23.96767,15.8552
71,100,2.227777,1.694682,252.764614,2.808131,23.964384,15.8536
72,100,2.226222,1.693136,252.719826,2.808386,23.961149,15.8517
73,100,2.223982,1.690923,252.666151,2.808512,23.957466,15.8499
74,100,2.225369,1.692336,252.630014,2.808627,23.953863,15.8486
75,100,2.227006,1.694004,252.606574,2.808589,23.951288,15.8479
76,100,2.226974,1.693954,252.565259,2.808944,23.949749,15.8453
77,100,2.22486,1.691888,252.513852,2.809013,23.944523,15.8435
78,100,2.226214,1.693278,252.479353,2.809015,23.941053,15.842
79,100,2.223739,1.690839,252.418654,2.808981,23.938076,15.8389
80,100,2.227935,1.695085,252.341458,2.809148,23.931728,15.8363
81,100,2.224007,1.691217,252.286339,2.809094,23.926636,15.8334
82,100,2.223604,1.690842,252.225179,2.809413,23.920898,15.8309
83,100,2.226382,1.693676,252.15638,2.809408,23.915783,15.8278
84,100,2.223838,1.691245,252.084565,2.808919,23.909668,15.8249
85,100,2.222039,1.689459,252.022758,2.809406,23.903837,15.8223
86,100,2.222465,1.689031,251.942484,2.818518,23.898521,15.8183
87,100,2.225529,1.692198,251.852867,2.818324,23.890686,15.815
88,100,2.224375,1.690569,251.769391,2.823771,23.88405,15.811
89,100,2.222954,1.688829,251.668631,2.827826,23.875956,15.8063
90,100,2.224107,1.69011,251.578195,2.827525,23.866554,15.8033
91,100,2.222795,1.688859,251.494883,2.827552,23.860628,15.799
92,100,2.221135,1.687285,251.3847,2.827614,23.851915,15.7931
93,100,2.220358,1.686583,251.270166,2.828098,23.84021,15.7887
94,100,2.221956,1.688277,251.155255,2.828069,23.83144,15.7829
95,100,2.219918,1.68635,251.02873,2.828171,23.819874,15.7776
96,100,2.221425,1.687961,250.91961,2.828254,23.809265,15.7724
97,100,2.22295,1.68881,250.782892,2.836132,23.79879,15.7654
98,100,2.221282,1.687269,250.642256,2.836321,23.784899,15.7594
99,100,2.21968,1.685824,250.48901,2.83602,23.772863,15.7511
100,100,2.220103,1.686418,250.323364,2.836065,23.756231,15.7436
