epoch,epoch_total,loss,recon,svdd,excl,overlap,R_mean
1,100,1.794622,1.727886,1334.721846,0.0,0.0,0.0
2,100,1.781399,1.72144,1199.171446,0.0,0.0,0.0
3,100,1.777211,1.722439,1095.436388,0.0,0.0,0.0
4,100,1.773641,1.723202,1008.781448,0.0,0.0,0.0
5,100,1.765958,1.71924,934.355591,0.0,0.0,0.0
6,100,1.76193,1.718386,870.874355,0.0,0.0,10.1091
7,100,1.84785,1.716376,117.54287,0.872909,12.472304,10.3617
8,100,1.854414,1.718377,118.400047,0.342612,12.977442,10.5325
9,100,1.853824,1.714375,119.814436,0.267959,13.319026,10.6609
10,100,1.858716,1.716665,121.284689,0.228918,13.575745,10.7667
11,100,1.85917,1.714956,122.720599,0.202707,13.787476,10.8566
12,100,1.863577,1.717516,124.066717,0.185434,13.967269,10.9336
13,100,1.862237,1.71459,125.277798,0.171812,14.121135,11.0017
14,100,1.863266,1.714209,126.428783,0.162044,14.257388,11.0628
15,100,1.863187,1.712862,127.510924,0.154594,14.379525,11.1189
16,100,1.86488,1.713383,128.55177,0.149813,14.491914,11.1708
17,100,1.866983,1.714406,129.549011,0.14422,14.595554,11.2204
18,100,1.866403,1.712788,130.537191,0.140547,14.694784,11.2662
19,100,1.867523,1.712948,131.478266,0.136609,14.78645,11.3108
20,100,1.866149,1.710637,132.406956,0.135216,14.87561,11.3521
21,100,1.867532,1.711151,133.321975,0.132417,14.95822,11.3934
22,100,1.866179,1.708927,134.233147,0.131999,15.040883,11.4327
23,100,1.868532,1.710453,135.108697,0.130245,15.119324,11.47
24,100,1.868932,1.710064,135.976954,0.129742,15.194036,11.508
25,100,1.868038,1.708366,136.853101,0.129353,15.269958,11.5457
26,100,1.867798,1.70733,137.730834,0.12833,15.34534,11.582
27,100,1.872403,1.711165,138.600563,0.127217,15.418052,11.6176
28,100,1.87024,1.708247,139.476308,0.127862,15.489186,11.6542
29,100,1.872766,1.709998,140.343517,0.127512,15.56235,11.6891
30,100,1.869775,1.706262,141.239535,0.127457,15.632318,11.7247
