epoch,epoch_total,loss,recon,svdd,excl,overlap,R_mean
1,100,1.791641,1.724926,1334.30428,0.0,0.0,0.0
2,100,1.7821,1.722181,1198.375385,0.0,0.0,0.0
3,100,1.775393,1.720645,1094.969253,0.0,0.0,0.0
4,100,1.772226,1.721801,1008.497327,0.0,0.0,0.0
5,100,1.768307,1.721613,933.883596,0.0,0.0,0.0
6,100,1.761698,1.718172,870.52249,0.0,0.0,10.1029
7,100,1.846175,1.715863,106.747065,3.777575,12.459705,10.0061
8,100,1.84492,1.716757,106.262484,1.901934,12.266042,10.0321
9,100,1.84693,1.718279,105.828578,1.788321,12.318021,10.0348
10,100,1.845368,1.716696,105.455086,1.635629,12.323537,10.0308
11,100,1.845361,1.716799,105.037304,1.534378,12.315596,10.0169
12,100,1.842993,1.714748,104.484141,1.435885,12.287696,10.0003
13,100,1.839303,1.711428,103.893008,1.355882,12.254484,9.9758
14,100,1.841239,1.713894,103.259858,1.27043,12.20554,9.9474
15,100,1.838843,1.712109,102.510273,1.210299,12.148778,9.9164
16,100,1.838972,1.712902,101.753573,1.150904,12.086695,9.8822
17,100,1.836329,1.71099,100.922165,1.098054,12.018278,9.8425
18,100,1.835712,1.711215,100.064337,1.038261,11.938935,9.8033
19,100,1.834378,1.710716,99.135059,1.008091,11.860419,9.7592
20,100,1.833425,1.710696,98.201014,0.952368,11.772376,9.7111
21,100,1.830837,1.709123,97.196433,0.917848,11.676188,9.6656
22,100,1.832575,1.711827,96.222152,0.868989,11.58507,9.6215
23,100,1.827033,1.707217,95.274128,0.828662,11.496954,9.5756
24,100,1.828099,1.709252,94.338516,0.793635,11.405103,9.5301
25,100,1.825528,1.707642,93.401035,0.752564,11.314098,9.4846
26,100,1.824692,1.707765,92.467266,0.729251,11.223083,9.4382
27,100,1.822679,1.70673,91.539347,0.690751,11.130337,9.394
28,100,1.820868,1.70585,90.661296,0.663106,11.041825,9.3486
29,100,1.823786,1.709724,89.752133,0.631281,10.951141,9.3066
