run_dir,results_path,score,auc,union_frac_inside,union_margin_mean,n_active,n_total,dom_train
samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p10,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p10/results.json,0.32551716756594895,0.5002602311755484,0.0,139.69906616210938,1,30,0.9974306360959942
samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k5,samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k5/results.json,0.32494736069646984,0.499695777147536,0.0,109.4019546508789,2,5,0.9974841645106611
samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p005,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p005/results.json,0.32485655222439846,0.4996049686754646,0.0,84.92037200927734,1,30,0.9974841645106611
samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-5,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-5/results.json,0.32452606340378354,0.4972321410077103,0.0018631314940881405,30.72321891784668,7,30,0.9798554732803997
samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p20,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p20/results.json,0.32434557724096374,0.49889950711874054,0.0,57.76005935668945,2,30,0.9955392987777678
samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-3,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-3/results.json,0.32398534201096973,0.49842281897826446,0.000788247939806521,27.356475830078125,2,30,0.9955571415826568
samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p30,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p30/results.json,0.32396445805119867,0.49862366047782014,0.0,151.61878967285156,1,30,0.9965920242662146
samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k20,samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k20/results.json,0.3236031446378448,0.49746473053332174,7.165890361877464e-05,30.067462921142578,3,20,0.9887233473101972
samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p05,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p05/results.json,0.3230628926610543,0.4964213546112729,0.0,60.89381408691406,5,30,0.9835846195021858
samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p15,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p15/results.json,0.3225607095992693,0.4962546162813998,0.0,93.80682373046875,6,30,0.9869390668213043
samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p10,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p10/results.json,0.3222454967296369,0.49663884136341335,0.0,114.55752563476562,3,30,0.9939334463377643
samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p10,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p10/results.json,0.3213523396161413,0.4938739740170691,0.0,97.37174987792969,4,30,0.9752163440092783
samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p25,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p25/results.json,0.3197526685731805,0.49327528432837725,0.0,35.55292892456055,5,30,0.9852261575519672
